N,종목명,현재가,전일비,등락률,액면가,자산총계,영업이익,매출액증가율
238.0,미원상사,174000.0,0.0,0.00%,500.0,3724.0,572.0,21.97
239.0,이노션,42950.0,200.0,+0.47%,500.0,22016.0,1357.0,23.01
240.0,코리안리,7130.0,50.0,+0.71%,500.0,131157.0,2035.0,-3.41
241.0,금호타이어,2980.0,10.0,-0.33%,5000.0,43422.0,-415.0,19.84
242.0,제이알글로벌리츠,4315.0,85.0,-1.93%,1000.0,20049.0,241.0,-9.68
243.0,녹십자홀딩스,18000.0,300.0,-1.64%,500.0,34968.0,862.0,7.05
244.0,율촌화학,34100.0,450.0,-1.30%,500.0,6667.0,110.0,3.47
245.0,한일시멘트,12150.0,150.0,-1.22%,500.0,23703.0,1204.0,30.54
246.0,한올바이오파마,15900.0,100.0,-0.62%,500.0,1985.0,101.0,14.66
247.0,KODEX 단기채권,104385.0,0.0,0.00%,0.0,,,
248.0,CJ CGV,17350.0,550.0,-3.07%,500.0,37855.0,-2414.0,26.2
249.0,KODEX 인버스,5045.0,45.0,+0.90%,0.0,,,
250.0,태광산업,740000.0,5000.0,-0.67%,5000.0,49238.0,3553.0,48.91
251.0,명신산업,15700.0,300.0,-1.87%,500.0,7195.0,565.0,36.92
252.0,ESR켄달스퀘어리츠,3865.0,80.0,-2.03%,1000.0,22680.0,238.0,97.15
253.0,영원무역홀딩스,59300.0,100.0,+0.17%,500.0,43256.0,5705.0,13.66
254.0,진에어,15200.0,200.0,-1.30%,1000.0,6016.0,-1853.0,-9.04
255.0,미원에스씨,155000.0,2000.0,-1.27%,500.0,4381.0,950.0,42.84
256.0,코스모화학,22500.0,200.0,+0.90%,1000.0,6813.0,305.0,44.2
257.0,KG스틸,7830.0,170.0,-2.12%,5000.0,27711.0,2969.0,43.22
258.0,효성중공업,83100.0,1200.0,+1.47%,5000.0,40227.0,1201.0,3.71
259.0,코스맥스,66200.0,1000.0,-1.49%,500.0,14119.0,1226.0,15.09
260.0,대상,21450.0,50.0,+0.23%,1000.0,28705.0,1532.0,11.46
261.0,대신증권,14600.0,50.0,+0.34%,5000.0,227632.0,8855.0,26.76
262.0,보령,10550.0,400.0,-3.65%,500.0,8286.0,414.0,11.64
263.0,쿠쿠홈시스,31900.0,100.0,-0.31%,100.0,9694.0,1786.0,13.55
